,Quarter,GDP,EUR/CHF,100xSEK/CHF,USD/CHF,CAD/CHF,100xBRL/USD,100xJPY/CHF,AUD/CHF,100xCNY/CHF,Zürich Unemp,Berne Unemp,Lucerne Unemp,Uri Unemp,Schwyz Unemp,Obwald Unemp,Nidwald Unemp,Glaris Unemp,Zoug Unemp,Fribourg Unemp,Soleure Unemp,Bâle-City Unemp,Bâle-Rural Unemp,Schaffhouse Unemp,Appenzell Ausserrhoden Unemp,Appenzell Innerrhoden Unemp,St-Gall Unemp,Grisons Unemp,Argovie Unemp,Thurgovie Unemp,Tessin Unemp,Vaud Unemp,Valais Unemp,Neuchâtel Unemp,Geneva Unemp,Jura Unemp,Total All Sectors Emp,Total Sector II Emp,5-9 Emp,10-33 Emp,10-12 Emp,13-15 Emp,16-18 Emp,19-20 Emp,21 Emp,22-23 Emp,24-25 Emp,26 Emp,27 Emp,28 Emp,29-30 Emp,31-33 Emp,35 Emp,36-39 Emp,41-43 Emp,41-42 Emp,43 Emp,Total Sector III Emp,45-47 Emp,45 Emp,46 Emp,47 Emp,49-53 Emp,49 Emp,50-51 Emp,52 Emp,53 Emp,55-56 Emp,55 Emp,56 Emp,58-63 Emp,58-60 Emp,61 Emp,62-63 Emp,64-66 Emp,64 Emp,65 Emp,66 Emp,68 Emp,69-75 Emp,69 Emp,70 Emp,71 Emp,72 Emp,73-75 Emp,77-82 Emp,78 Emp,77+79-82 Emp,84 Emp,85 Emp,86-88 Emp,86 Emp,87 Emp,88 Emp,90-93 Emp,94-96 Emp,Total All Sectors Vac,Total Sector II Vac,10-33 Vac,24-25 Vac,26 Vac,28 Vac,41-43 Vac,Total Sector III Vac,45-47 Vac,49-53 Vac,55-56 Vac,58-63 Vac,62-63 Vac,64-66 Vac,68-75 Vac,77+79-82 Vac,84 Vac,85 Vac,86-88 Vac,90-96 Vac,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,Housing and energy,"Furnishings, household equipment and routine household maintenance",Healthcare,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,Total index
0,2000Q1,115854.378747042,1.6070666666666664,18.894000000000002,1.6261999999999999,1.1187333333333334,91.70826666666666,1.51997,1.0266666666666666,19.67472,2.1,1.7,1.57,0.77,0.93,0.4,0.47,1.4,1.37,1.97,2.07,2.37,1.57,2.13,0.9,0.47,1.73,1.17,1.63,1.53,4.17,3.5,3.17,3.03,4.47,2.43,3212715.2,940487.5,4259.2,631287.5,68397.2,24533.7,79914.5,34008,22859.9,43202.5,98616.2,74917.3,31543.8,90666.1,12294.6,50333.7,22375.2,12980.1,269585.5,99127.3,170458.2,2272227.7,502153.1,72136.4,177039.1,252977.7,190097.6,83288.8,12766.3,45757.3,48285.2,211183.6,77679.5,133504.1,108732.3,27820.8,28175.3,52736.2,179281.9,109052.9,50009.5,20219.6,20694.7,219079.3,51992.3,40336.2,71510,11638.9,43601.9,137471.3,48558.3,88913.1,121987,156142.8,308184.1,184942.2,82359.6,40882.3,34907.4,82312.4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,94.33,73.92,101.83,77.09,107.8,102.81,96.6,160.64,115.89,76.36,81.5,91.03,92.8
1,2000Q2,116763.905973396,1.5633666666666668,18.887133333333335,1.6729333333333332,1.1304333333333334,92.86326666666666,1.5703633333333331,0.9860966666666666,20.22705,1.8,1.3,1.3,0.4,0.7,0.4,0.4,0.87,1.1,1.43,1.6,2.17,1.37,1.6,0.73,0.27,1.4,1.03,1.33,1.13,2.6,2.9,1.83,2.17,4.1,1.73,3256812.1,951883.7,4330.1,636324.4,70291.7,24128.7,79899.7,33866.7,22996.5,43699.2,99140.4,76737.1,32519.6,90059.2,12356,50629.6,22240.9,13041.5,275946.7,101426.7,174520,2304928.4,501793.3,72334.2,177947,251512,188965.9,81897.3,12792.5,45947.7,48328.4,219561.8,80459.1,139102.6,110488.4,28068.6,28240.2,54179.5,180565.3,109915.9,49746.5,20902.9,20764.3,221783.2,52084.4,42037.4,71600.9,11965.6,44095,151438.6,61375.1,90063.5,123893.1,155473.1,312133.7,187257,84044.6,40832.1,35575.1,82492.7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95.33,74.35,102.09,77.53,108.0,102.78,98.48,145.01,114.43,76.46,81.6,91.25,93.06
2,2000Q3,118634.66972945,1.5439999999999998,18.363133333333334,1.7064666666666668,1.1516333333333335,93.94986666666667,1.5864333333333331,0.97965,20.625466666666668,1.63,1.13,1.2,0.4,0.57,0.3,0.43,0.73,1.0,1.37,1.4,1.9,1.23,1.43,0.67,0.23,1.23,0.83,1.23,1.0,2.47,2.67,1.47,2.07,3.97,1.63,3286071.6,966110.6,4383.4,644792.6,70221.7,24317.1,81007.9,34250.6,23487.7,43993.9,100054.6,79371.3,33462.9,91615.9,12080.3,50928.7,22225.3,13003.4,281705.9,103599.8,178106.1,2319961,503378.7,72169.6,178433.2,252776,190873.6,83717.6,12895,45876.7,48384.3,213014,77717.1,135296.9,113010.5,28267.1,27607.3,57136.1,183509.6,112429.1,49170.6,21910,21165.9,223604.8,51997.9,43597.8,71341.6,12194.6,44472.8,156474.1,65600.9,90873.2,125005.2,156186.8,315457.2,189154.3,85598.2,40704.7,35526.8,82753.8,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95.04,75.13,101.39,78.5,108.03,102.81,99.41,145.11,113.52,76.66,81.61,91.25,93.34
3,2000Q4,120415.701975453,1.5160333333333333,17.61146666666667,1.7442,1.1430333333333333,90.43149999999999,1.5892766666666667,0.9281499999999999,21.076136666666667,1.63,1.2,1.23,0.57,0.6,0.4,0.43,0.73,0.97,1.33,1.33,1.97,1.23,1.67,0.9,0.27,1.23,1.1,1.2,1.13,3.07,2.63,2.2,1.93,3.87,1.6,3271559.6,952452.7,4298.4,643750.3,70401.2,23686.4,80749.2,34645,24012.6,43163.9,100910.1,78653.2,34219.2,90795.4,11833.8,50680.2,22156.3,12955.4,269292.3,99154.8,170137.5,2319106.9,504309.9,72265.3,177428.8,254615.9,193264.1,86793.4,12607.2,45764.4,48099.2,210376.2,76947.2,133429,113675.3,28439.2,28111,57125.1,186730.4,114544.9,48950.1,23235.4,21351.8,226808,52314.3,45567.8,71831.3,12250.8,44843.7,145269.9,54299.8,90970.1,126801.5,157151.7,315631.2,189237.6,86287.3,40106.3,35845.3,81891.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,94.56,75.21,101.62,79.86,107.89,102.86,99.38,143.99,113.52,77.1,81.78,91.4,93.74
4,2001Q1,120724.817552507,1.5334333333333332,17.031166666666667,1.6609999999999998,1.0876333333333332,82.39466666666667,1.4061833333333336,0.88149,20.087036666666666,1.67,1.27,1.23,0.5,0.63,0.47,0.5,0.77,1.17,1.4,1.47,2.17,1.3,1.83,0.9,0.3,1.33,1.1,1.27,1.17,3.1,2.8,2.5,2.07,3.9,1.73,3293720.5,955547.6,4246.9,644582,67955.3,23544.6,80505.4,35635.4,24929.6,43200.7,101743.2,80013.2,34896.1,91177.5,11130,49851.1,21916.6,13046.3,271755.8,99967,171788.7,2338172.9,506220.6,72539.8,180070.6,253610.2,193013.3,87906.8,11798.3,45855.3,47452.9,216158.7,78399,137759.7,116446.1,28498.9,27487.5,60459.7,187063.3,113916.8,47924.6,25221.8,22000,231046.5,52825.4,47646.1,72269.1,12484.7,45821.2,140227.3,48490.8,91736.5,130560.1,158781.6,318350.2,190657.4,87742.5,39950.3,37189.2,81115.9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95.34,75.4,98.41,79.51,108.28,103.24,97.96,144.21,113.93,77.2,83.1,92.38,93.74
5,2001Q2,121103.757574588,1.5283,16.744966666666667,1.7488666666666666,1.1344666666666667,76.48356666666666,1.42627,0.8972533333333333,21.14568,1.53,1.1,1.1,0.23,0.5,0.43,0.47,0.6,1.2,1.2,1.37,2.07,1.27,1.47,0.77,0.23,1.2,1.0,1.1,1.03,2.1,2.53,1.77,1.9,3.8,1.7,3318709.7,971072,4396.5,647922.1,68624.9,22900.5,80639.9,35900.6,25374.1,42857,101905.1,81272.8,36124.5,90454.9,11338.2,50529.6,21283.7,13359.1,284110.6,104527.9,179582.7,2347637.8,506466.3,71811.9,181004.7,253649.6,192546.3,86780.6,13797.5,45180.7,46787.4,213825.7,77553.4,136272.4,116104.6,28311.9,26531.3,61261.4,192649.5,115819.3,48291.1,28539,22365.4,237921.2,54006.6,50456.8,73757.6,12539.4,47160.8,150532.5,56220.4,94312.2,124243.5,160865.7,312513.9,187139,86748.9,38626,36174.4,81428.7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,96.85,76.08,99.01,80.09,108.76,103.48,99.84,143.1,114.38,77.27,83.55,92.91,94.46
6,2001Q3,121368.437553016,1.5065666666666668,16.00836666666667,1.6929,1.0966333333333333,66.74486666666667,1.3919500000000002,0.8692166666666666,20.432056666666668,1.53,1.0,1.1,0.23,0.5,0.47,0.6,0.63,1.37,1.23,1.37,2.07,1.33,1.33,0.8,0.23,1.2,0.83,1.1,1.03,2.27,2.5,1.5,1.97,3.87,2.03,3345135.9,979988.1,4445.6,653129.4,69471.7,22800.8,81260.3,36433.8,26000.7,42715.5,102693,82754.6,36517,90859,11120.9,50502.1,21633.8,13313.1,287466.3,105733.5,181732.7,2365147.8,508232,72906.3,180493.1,254832.6,194501.2,87820.2,14073.4,45475.2,47132.3,214827.7,77690,137137.6,115917.9,28431.8,26184,61302.1,197459.6,117361.5,48831.8,31266.4,22566.5,238938.9,53710.6,52035,73311.5,12642.7,47239.2,152170.7,57188.2,94982.5,125800.9,162736.4,313890.2,187880,87767.9,38242.3,36329.8,81776,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97.42,76.1,93.31,80.36,108.69,103.53,98.92,142.71,114.48,77.47,83.64,93.22,94.29
7,2001Q4,120766.235453702,1.4734666666666667,15.546166666666666,1.6445333333333334,1.0408000000000002,64.59393333333334,1.3311133333333334,0.8418966666666666,19.903973333333337,2.1,1.3,1.5,0.63,0.73,0.77,0.77,0.9,1.83,1.53,1.63,2.33,1.53,1.67,1.0,0.37,1.5,1.17,1.4,1.47,3.07,2.8,2.43,2.57,4.33,2.53,3312376.2,957744.7,4362.8,647778.6,68788,22760.6,80272.4,36175.3,26199.3,41996.8,101135.6,81918.8,36510.3,90273.4,11633.9,50114.4,21567.2,13231.1,270804.9,99389.4,171415.5,2354631.5,505206,73265.9,177470.7,254469.5,194303,90179.4,12079.7,45208.4,46835.5,213814.1,76882.1,136932,114711.4,28361.4,26639.8,59710.2,197446.3,117220.7,49015.3,31210.3,22675.3,240007.4,53932.9,52544.2,73813.5,12838.1,46878.7,141523.2,46977,94546.1,125834.5,164530.1,316028,188848.4,88516.3,38663.3,36812.3,81739.9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97.54,76.42,95.17,80.04,108.66,103.29,97.11,142.52,114.65,77.91,83.58,93.43,94.13
8,2002Q1,120546.912427477,1.4730666666666667,16.080133333333333,1.6804333333333332,1.0539333333333332,70.51936666666667,1.2689033333333335,0.8703833333333333,20.304753333333334,2.67,1.63,1.8,0.63,1.07,0.87,0.87,1.4,2.33,1.77,2.1,2.73,1.8,2.33,1.37,0.63,1.9,1.23,1.8,1.87,3.57,3.17,2.87,3.27,4.73,3.43,3302104.4,949158.3,4259.1,637725.9,70304.1,22475.5,79616,35744.7,26241.9,41357.4,98403.9,80815.2,35088.6,88548.3,10389.5,48740.9,21928,13350.8,271894.5,99547.5,172346.9,2352946.1,504654,72668,179735.2,252250.8,188876.2,87106.2,12303.2,43855.7,45611.1,214761,76827.6,137933.4,113994.8,28160.1,26299,59535.7,198911.7,118264.8,48043.3,32603.7,22822.1,243510.3,54662,53528.1,74912.3,13545.2,46862.6,137377.5,42712.1,94665.4,128167,166575.6,316019,188532.7,88668.6,38817.7,35958.6,81318.3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99.26,76.89,88.2,79.84,108.69,103.64,96.48,142.33,114.64,78.07,85.74,94.95,94.27
9,2002Q2,120449.58647586,1.4647666666666666,15.994333333333332,1.5944333333333331,1.0253666666666668,64.1493,1.25664,0.8787366666666666,19.252396666666666,2.77,1.47,1.73,0.57,1.0,0.73,0.83,1.13,2.3,1.5,2.17,2.87,1.73,2.17,1.53,0.83,1.9,1.37,1.93,1.8,2.93,3.03,2.13,2.9,4.87,3.37,3317534.1,956780,4340.7,635680.8,70277.7,21478.2,78560.2,36045.3,26887.8,40706,98364.4,81047.2,34476.3,87944.4,10973.2,48920.1,21172.5,13302.4,282283.8,102982.2,179301.6,2360754.1,499292.1,72334.6,178239.9,248717.5,188999.9,87323.6,12933.2,43946.3,44796.9,213635.9,76050.5,137585.4,113660.3,27861.4,26165.8,59633,199289.5,119773.9,47753.6,31762.1,23004.7,243218.3,54385.8,53572.3,74706.9,14203.4,46349.9,146997.9,51154.9,95843,128108.4,166864.4,317690.3,189249.8,89300.3,39140.2,36232.3,83760.1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99.3,77.29,99.53,80.08,108.8,103.89,98.41,142.41,114.42,78.19,85.98,95.53,95.11
